,LGA_CODE21,LGA_NAME21,AREASQKM21,LATITUDE,LONGITUDE
331,45090,Naracoorte Lucindale,4519.715,-36.97726086268775,140.54732231681749
332,45120,Northern Areas,2986.1818,-33.28639552015022,138.51142704866902
333,45290,Norwood Payneham and St Peters,15.1036,-34.90756033251729,138.63645687756468
334,45340,Onkaparinga,518.1255,-35.17867451777355,138.56885982366026
335,45400,Orroroo Carrieton,3321.8239,-32.52075544316805,138.6393611756938
336,45540,Peterborough,3020.142,-32.86410899221409,139.0596484419013
337,45680,Playford,345.2038,-34.688875754557145,138.66297382571307
338,45890,Port Adelaide Enfield,91.7588,-34.840698472422794,138.56151491867823
339,46090,Port Augusta,1157.9905,-32.59112320355966,137.75117807412747
340,46300,Port Lincoln,30.3681,-34.72920757784514,135.85113613898235
341,46450,Port Pirie,1760.7097,-33.37682875541712,138.10593975588247
342,46510,Prospect,7.7915,-34.88398354197489,138.59794305137146
343,46670,Renmark Paringa,916.442,-34.18226093388315,140.81412161839557
344,46860,Robe,1091.7162,-37.187670748625074,139.97944930031673
345,46970,Roxby Downs,110.4778,-30.55437219779593,136.8811863785334
346,47140,Salisbury,159.8432,-34.772645447704484,138.6113065642654
347,47290,Southern Mallee,5702.2024,-35.39390718298828,140.5743585022692
348,47490,Streaky Bay,6222.8591,-32.708903362434775,134.56403650358254
349,47630,Tatiara,6527.2342,-36.227907918677175,140.58444898644106
350,47700,Tea Tree Gully,95.2109,-34.805148075253875,138.71804817693635
351,47800,Coorong,8833.4339,-35.71379474359277,139.7613185222922
352,47910,Tumby Bay,2669.0794,-34.179320386476014,136.01970546625608
353,47980,Unley,14.2703,-34.95478367018585,138.60403953213532
354,48050,Victor Harbor,384.6255,-35.51277636111967,138.54616868318982
355,48130,Wakefield,3468.4879,-33.99143179688363,138.3565122913061
356,48260,Walkerville,3.53,-34.89277229735106,138.61711672380062
357,48340,Wattle Range,3926.2101,-37.470397066600995,140.51887052045367
358,48410,West Torrens,37.0886,-34.941417506760885,138.54381934904282
359,48540,Whyalla,1071.3397,-33.03730553842888,137.49434437881771
360,48640,Wudinna,5075.2783,-33.028650432989245,135.31464624029746
361,48750,Yankalilla,751.2577,-35.518578729546924,138.3371004199718
362,48830,Yorke Peninsula,5899.6397,-34.683697729830385,137.55994974025998
363,49399,Unincorporated SA,619426.0858,-29.588027302834618,136.77458976483598
364,49499,No usual address (SA),0.0,0.0,0.0
365,49799,Migratory - Offshore - Shipping (SA),0.0,0.0,0.0
366,50080,Albany,4308.458,-34.73911807524469,118.18258486165287
367,50210,Armadale,559.5258,-32.16751856592005,116.13698877281749
368,50250,Ashburton,100817.3112,-22.493635832760077,116.72625502763186
369,50280,Augusta Margaret River,2122.375,-34.03086387956695,115.22780148898498
370,50350,Bassendean,10.3449,-31.90383413454006,115.94523177650142
371,50420,Bayswater,34.6169,-31.903775519904503,115.90782772007942
372,50490,Belmont,39.8246,-31.956220266235576,115.9483284837597
373,50560,Beverley,2370.5195,-32.174651047126,116.79658985588355
374,50630,Boddington,1904.4791,-32.81628288150162,116.39990081559444
375,50770,Boyup Brook,2826.4585,-33.89175425039253,116.52404091465309
376,50840,Bridgetown-Greenbushes,1337.361,-34.00376754922717,116.1910008897728
377,50910,Brookton,1601.1532,-32.361981873104924,117.00309972981123
378,50980,Broome,54401.8236,-18.67020478159551,122.46368892200837
379,51080,Broomehill-Tambellup,2609.6612,-34.002496382968786,117.66132913891086
380,51120,Bruce Rock,2724.6944,-31.952576042260315,118.02864036867645
381,51190,Bunbury,65.4163,-33.35163318579678,115.66440487027661
382,51260,Busselton,1454.0509,-33.718430654085,115.34887074138373
383,51310,Cambridge,21.9555,-31.936265265686373,115.7864100719872
384,51330,Canning,64.8791,-32.03688122766117,115.9163616957601
385,51400,Capel,557.8983,-33.53233721994662,115.6357306843579
386,51470,Carnamah,2870.9316,-29.773209880734314,115.57784151799507
387,51540,Carnarvon,46574.705,-24.349951480942966,114.39103746253797
388,51610,Chapman Valley,3981.3333,-28.322363495477315,115.0591367138661
389,51680,Chittering,1219.9032,-31.374381310398892,116.07834679875916
390,51710,Christmas Island,136.1356,-10.485342775485524,105.63648036030459
391,51750,Claremont,4.9554,-31.98013571573657,115.77998676859264
392,51820,Cockburn,167.9415,-32.11426740809212,115.79290192306192
393,51860,Cocos Islands,13.7258,-12.134567395416074,96.86227327115024
394,51890,Collie,1709.815,-33.28354137825791,116.21157684616163
395,51960,Coolgardie,30297.6977,-31.186771807558742,120.9644728935263
396,52030,Coorow,4189.8721,-30.02160290821697,115.7592260500357
397,52100,Corrigin,2681.271,-32.35835324171995,117.79903966800691
398,52170,Cottesloe,3.8564,-31.993989848179247,115.75850680483568
399,52240,Cranbrook,3276.0464,-34.31480506913661,117.28588337110239
400,52310,Cuballing,1195.3369,-32.73539595273089,117.15918470649693
401,52380,Cue,13582.1956,-27.310807130946465,117.94005093010244
402,52450,Cunderdin,1862.4457,-31.599567971922948,117.15573030647165
403,52520,Dalwallinu,7224.3566,-30.125233328555677,116.94476474979423
